,temperature,apparentTemperature,dewPoint,month,hour,is_holiday,gen
0,16.67,3.95,2.41,1,13,1,0.354548888
1,16.19,4.18,1.68,1,14,1,0.597740001
2,15.69,4.41,2.59,1,15,1,0.948386111
3,15.29,4.29,3.29,1,16,1,1.144894443
4,15.37,5.12,3.95,1,17,1,1.162589446
5,14.81,4.37,5.11,1,18,1,1.209544444
6,14.4,3.9,5.28,1,19,1,0.911268332
7,13.79,4.45,4.98,1,20,1,0.647213887
8,14.5,6.35,6.18,1,21,1,0.530383887
9,17.05,11.24,8.93,1,22,1,0.57247
10,18.29,7.31,8.4,1,23,1,0.640576111
11,19.68,10.2,6.92,1,0,0,0.613165556
12,20.82,10.85,6.69,1,1,0,0.654899444
13,21.61,12.0,6.52,1,2,0,0.690841668
14,21.63,11.84,6.48,1,3,0,0.621635
15,21.74,13.65,6.97,1,4,0,0.742779444
16,21.52,14.46,6.89,1,5,0,0.776897222
17,19.73,12.71,7.11,1,6,0,0.920466111
18,17.26,12.5,7.87,1,7,0,0.969425555
19,16.5,16.5,8.07,1,8,0,1.212095
20,17.39,12.22,8.59,1,9,0,1.307596111
21,16.34,16.34,9.6,1,10,0,1.294669444
22,17.25,10.39,9.67,1,11,0,1.023761667
23,17.04,17.04,10.07,1,12,0,1.184938334
24,15.97,15.97,10.59,1,13,0,0.934003334
25,15.55,8.28,11.26,1,14,0,1.525793889
26,14.8,7.67,10.71,1,15,0,0.866708334
27,14.51,14.51,11.1,1,16,0,0.799127221
28,14.09,8.14,10.11,1,17,0,0.924177778
29,12.14,5.41,7.93,1,18,0,1.253684446
30,10.08,4.39,6.27,1,19,0,0.900755555
31,9.23,-2.8,5.38,1,20,0,1.003233333
32,8.98,-3.52,4.73,1,21,0,0.959057777
33,8.29,-5.18,3.92,1,22,0,0.794929443
34,11.0,-1.72,5.48,1,23,0,0.644269445
35,11.31,0.34,6.22,1,0,0,0.627638333
36,11.84,0.92,5.6,1,1,0,0.699936111
37,11.36,-2.0,4.17,1,2,0,0.706766666
38,10.56,-5.56,3.36,1,3,0,0.594113889
39,9.83,-5.98,4.65,1,4,0,0.453781667
40,9.49,-4.72,3.18,1,5,0,0.486698889
41,8.84,-4.49,3.28,1,6,0,0.640661111
42,8.59,-5.36,2.79,1,7,0,0.677998889
43,7.71,-5.04,1.59,1,8,0,0.691628334
44,6.91,-6.9,0.68,1,9,0,0.752518889
45,6.42,-8.0,-1.16,1,10,0,0.452160557
46,5.34,-5.3,-1.4,1,11,0,0.430217777
47,5.17,-6.03,-1.62,1,12,0,0.271274999
48,-0.25,-11.65,-5.51,1,13,0,0.529045001
49,-1.06,-11.03,-6.49,1,14,0,0.371090001
50,-2.1,-11.52,-7.45,1,15,0,0.872564444
51,-2.51,-13.67,-7.74,1,16,0,0.991867777
52,-3.49,-16.24,-7.57,1,17,0,1.127462777
53,-2.94,-16.78,-8.82,1,18,0,1.070512223
54,-3.66,-16.43,-9.04,1,19,0,0.851736666
55,-3.75,-15.98,-9.02,1,20,0,0.720486666
56,-3.76,-16.19,-10.34,1,21,0,0.499694999
57,-3.59,-16.66,-10.85,1,22,0,0.650337777
58,-2.63,-18.29,-10.99,1,23,0,0.930647777
59,-0.45,-16.23,-11.26,1,0,0,0.837492222
60,0.13,-15.46,-11.02,1,1,0,0.896559999
61,1.62,-14.14,-10.59,1,2,0,0.607687779
62,2.67,-12.67,-10.63,1,3,0,0.462213889
63,3.05,-11.26,-10.32,1,4,0,0.119392778
64,2.01,-12.65,-10.47,1,5,0,0.463329445
65,-0.07,-10.34,-10.28,1,6,0,0.739615001
66,-1.64,-14.36,-10.21,1,7,0,0.645394999
67,-3.64,-16.72,-11.9,1,8,0,0.972211113
68,-6.45,-6.45,-12.6,1,9,0,0.993235001
69,-9.13,-9.13,-14.05,1,10,0,1.292138332
70,-10.68,-10.68,-16.17,1,11,0,0.721683334
71,-12.26,-12.26,-17.51,1,12,0,0.275926112
72,-11.59,-23.8,-16.82,1,13,0,0.387321665
73,-12.32,-25.61,-17.76,1,14,0,0.31173889
74,-13.55,-13.55,-18.62,1,15,0,0.257555002
75,-13.72,-22.95,-18.78,1,16,0,0.607480557
76,-13.38,-13.38,-18.98,1,17,0,0.705107779
77,-10.83,-10.83,-15.88,1,18,0,0.593200554
78,-9.19,-20.09,-14.43,1,19,0,0.669423335
79,-8.91,-18.6,-13.42,1,20,0,0.588633333
80,-6.53,-18.54,-12.18,1,21,0,0.541018333
81,-2.71,-10.22,-8.67,1,22,0,0.441108334
82,2.69,-12.39,-5.82,1,23,0,0.527856111
83,10.08,-1.63,-5.59,1,0,0,0.632306666
84,15.32,6.72,-4.29,1,1,0,0.66985889
85,19.07,12.12,-4.17,1,2,0,0.673706667
86,21.65,13.34,-2.52,1,3,0,0.722621109
87,22.72,11.56,-1.68,1,4,0,0.774413333
88,20.55,14.37,2.17,1,5,0,0.828251667
89,16.81,6.35,2.07,1,6,0,0.878050001
90,14.52,4.54,2.99,1,7,0,0.879813889
91,14.21,6.51,2.29,1,8,0,1.092607221
92,11.65,-0.49,2.96,1,9,0,1.159651666
93,11.12,-0.56,1.72,1,10,0,1.852293891
94,11.53,0.67,2.2,1,11,0,1.069153889
95,12.01,6.04,2.59,1,12,0,0.697992779
96,10.67,1.88,2.6,1,13,0,0.841511112
97,8.65,8.65,3.2,1,14,0,0.908423888
98,6.91,-0.63,1.94,1,15,0,0.856086665
99,5.67,-5.54,0.03,1,16,0,0.874813887
100,4.36,4.36,0.5,1,17,0,1.162059444
101,3.76,-2.98,-0.89,1,18,0,1.01637389
102,2.26,-6.13,-1.74,1,19,0,1.021537222
103,1.34,1.34,-2.99,1,20,0,0.563926666
104,1.99,1.99,-1.41,1,21,0,0.587830555
105,8.98,8.98,4.4,1,22,0,0.530957779
106,16.32,9.28,7.81,1,23,0,0.645917222
107,23.12,23.12,9.99,1,0,0,0.564248332
108,28.53,24.77,11.44,1,1,0,0.478677778
